name,id
Ingenious Film Partners,289.0
Twentieth Century Fox Film Corporation,306.0
Dune Entertainment,444.0
Lightstorm Entertainment,574.0
Walt Disney Pictures,2.0
Jerry Bruckheimer Films,130.0
Second Mate Productions,19936.0
Columbia Pictures,5.0
Danjaq,10761.0
B24,69434.0
Legendary Pictures,923.0
Warner Bros.,6194.0
DC Entertainment,9993.0
Syncopy,9996.0
Walt Disney Pictures,2.0
Columbia Pictures,5.0
Laura Ziskin Productions,326.0
Marvel Enterprises,19551.0
Walt Disney Pictures,2.0
Walt Disney Animation Studios,6125.0
Marvel Studios,420.0
Prime Focus,15357.0
Revolution Sun Studios,76043.0
Warner Bros.,6194.0
Heyday Films,7364.0
DC Comics,429.0
Atlas Entertainment,507.0
Warner Bros.,6194.0
DC Entertainment,9993.0
Cruel & Unusual Films,9995.0
RatPac-Dune Entertainment,41624.0
DC Comics,429.0
Legendary Pictures,923.0
Warner Bros.,6194.0
Bad Hat Harry Productions,9168.0
Eon Productions,7576.0
Walt Disney Pictures,2.0
Jerry Bruckheimer Films,130.0
Second Mate Productions,19936.0
Walt Disney Pictures,2.0
Jerry Bruckheimer Films,130.0
Infinitum Nihil,2691.0
Silver Bullet Productions (II),37380.0
Blind Wink Productions,37381.0
Classic Media,37382.0
Legendary Pictures,923.0
Warner Bros.,6194.0
DC Entertainment,9993.0
Syncopy,9996.0
Cruel and Unusual Films,78685.0
Walt Disney,5888.0
Walden Media,10221.0
Stillking Films,11345.0
Ozumi Films,11440.0
Propeler,11441.0
Silverbell Films,11442.0
Revolution Sun Studios,76043.0
Paramount Pictures,4.0
Marvel Studios,420.0
Walt Disney Pictures,2.0
Jerry Bruckheimer Films,130.0
Moving Picture Company (MPC),20478.0
Amblin Entertainment,56.0
Media Magik Entertainment,5627.0
Imagenation Abu Dhabi FZ,6736.0
Hemisphere Media Capital,9169.0
Parkes/MacDonald Productions,11084.0
WingNut Films,11.0
New Line Cinema,12.0
Warner Bros. Pictures,174.0
3Foot7,7413.0
Metro-Goldwyn-Mayer (MGM),8411.0
Columbia Pictures,5.0
Laura Ziskin Productions,326.0
Marvel Entertainment,7505.0
Imagine Entertainment,23.0
Universal Pictures,33.0
Scott Free Productions,1645.0
Relativity Media,7295.0
WingNut Films,11.0
New Line Cinema,12.0
Warner Bros. Pictures,174.0
Metro-Goldwyn-Mayer (MGM),8411.0
New Line Cinema,12.0
Ingenious Film Partners,289.0
Depth of Field,1473.0
Scholastic Productions,1938.0
WingNut Films,11.0
Universal Pictures,33.0
Big Primate Pictures,68.0
MFPV Film,69.0
Paramount Pictures,4.0
Twentieth Century Fox Film Corporation,306.0
Lightstorm Entertainment,574.0
Studio Babelsberg,264.0
Marvel Studios,420.0
Walt Disney Studios Motion Pictures,3036.0
Vita-Ray Dutch Productions (III),84424.0
Deluxe Digital Studios,84425.0
Universal Pictures,33.0
Hasbro,2598.0
Bluegrass Films,13778.0
Film 44,20153.0
Universal Studios,13.0
