,movie_id,original_title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,profit,roi,release_year,is_sucssfull
0,19995,Avatar,2009-12-10,237000000,2787965087,162.0,7.2,11800,150.437577,2550965087,10.76,2009,1
1,285,Pirates of the Caribbean: At World's End,2007-05-19,300000000,961000000,169.0,6.9,4500,139.082615,661000000,2.2,2007,1
2,206647,Spectre,2015-10-26,245000000,880674609,148.0,6.3,4466,107.376788,635674609,2.59,2015,1
3,49026,The Dark Knight Rises,2012-07-16,250000000,1084939099,165.0,7.6,9106,112.31295,834939099,3.34,2012,1
4,49529,John Carter,2012-03-07,260000000,284139100,132.0,6.1,2124,43.926995,24139100,0.09,2012,1
5,559,Spider-Man 3,2007-05-01,258000000,890871626,139.0,5.9,3576,115.699814,632871626,2.45,2007,1
6,38757,Tangled,2010-11-24,260000000,591794936,100.0,7.4,3330,48.681969,331794936,1.28,2010,1
7,99861,Avengers: Age of Ultron,2015-04-22,280000000,1405403694,141.0,7.3,6767,134.279229,1125403694,4.02,2015,1
8,767,Harry Potter and the Half-Blood Prince,2009-07-07,250000000,933959197,153.0,7.4,5293,98.885637,683959197,2.74,2009,1
9,209112,Batman v Superman: Dawn of Justice,2016-03-23,250000000,873260194,151.0,5.7,7004,155.790452,623260194,2.49,2016,1
10,1452,Superman Returns,2006-06-28,270000000,391081192,154.0,5.4,1400,57.925623,121081192,0.45,2006,1
11,10764,Quantum of Solace,2008-10-30,200000000,586090727,106.0,6.1,2965,107.928811,386090727,1.93,2008,1
12,58,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,200000000,1065659812,151.0,7.0,5246,145.847379,865659812,4.33,2006,1
13,57201,The Lone Ranger,2013-07-03,255000000,89289910,149.0,5.9,2311,49.046956,-165710090,-0.65,2013,0
14,49521,Man of Steel,2013-06-12,225000000,662845518,143.0,6.5,6359,99.398009,437845518,1.95,2013,1
15,2454,The Chronicles of Narnia: Prince Caspian,2008-05-15,225000000,419651413,150.0,6.3,1630,53.978602,194651413,0.87,2008,1
16,24428,The Avengers,2012-04-25,220000000,1519557910,143.0,7.4,11776,144.448633,1299557910,5.91,2012,1
17,1865,Pirates of the Caribbean: On Stranger Tides,2011-05-14,380000000,1045713802,136.0,6.4,4948,135.413856,665713802,1.75,2011,1
18,41154,Men in Black 3,2012-05-23,225000000,624026776,106.0,6.2,4160,52.035179,399026776,1.77,2012,1
19,122917,The Hobbit: The Battle of the Five Armies,2014-12-10,250000000,956019788,144.0,7.1,4760,120.965743,706019788,2.82,2014,1
20,1930,The Amazing Spider-Man,2012-06-27,215000000,752215857,136.0,6.5,6586,89.866276,537215857,2.5,2012,1
21,20662,Robin Hood,2010-05-12,200000000,310669540,140.0,6.2,1398,37.668301,110669540,0.55,2010,1
22,57158,The Hobbit: The Desolation of Smaug,2013-12-11,250000000,958400000,161.0,7.6,4524,94.370564,708400000,2.83,2013,1
23,2268,The Golden Compass,2007-12-04,180000000,372234864,113.0,5.8,1303,42.990906,192234864,1.07,2007,1
24,254,King Kong,2005-12-14,207000000,550000000,187.0,6.6,2337,61.22601,343000000,1.66,2005,1
25,597,Titanic,1997-11-18,200000000,1845034188,194.0,7.5,7562,100.025899,1645034188,8.23,1997,1
26,271110,Captain America: Civil War,2016-04-27,250000000,1153304495,147.0,7.1,7241,198.372395,903304495,3.61,2016,1
27,44833,Battleship,2012-04-11,209000000,303025485,131.0,5.5,2114,64.928382,94025485,0.45,2012,1
28,135397,Jurassic World,2015-06-09,150000000,1513528810,124.0,6.5,8662,418.708552,1363528810,9.09,2015,1
29,37724,Skyfall,2012-10-25,200000000,1108561013,143.0,6.9,7604,93.004993,908561013,4.54,2012,1
30,558,Spider-Man 2,2004-06-25,200000000,783766341,127.0,6.7,4321,35.149586,583766341,2.92,2004,1
31,68721,Iron Man 3,2013-04-18,200000000,1215439994,130.0,6.8,8806,77.68208,1015439994,5.08,2013,1
32,12155,Alice in Wonderland,2010-03-03,200000000,1025491110,108.0,6.4,4645,78.530105,825491110,4.13,2010,1
33,36668,X-Men: The Last Stand,2006-05-24,210000000,459359555,104.0,6.3,3525,3.857526,249359555,1.19,2006,1
34,62211,Monsters University,2013-06-20,200000000,743559607,104.0,7.0,3528,89.186492,543559607,2.72,2013,1
35,8373,Transformers: Revenge of the Fallen,2009-06-19,150000000,836297228,150.0,6.0,3138,21.939663,686297228,4.58,2009,1
36,91314,Transformers: Age of Extinction,2014-06-25,210000000,1091405097,165.0,5.8,3095,116.840296,881405097,4.2,2014,1
37,68728,Oz: The Great and Powerful,2013-03-07,200000000,491868548,130.0,5.7,3530,46.985445,291868548,1.46,2013,1
38,102382,The Amazing Spider-Man 2,2014-04-16,200000000,705717432,142.0,6.5,4179,89.270217,505717432,2.53,2014,1
39,20526,TRON: Legacy,2010-12-10,170000000,400062763,125.0,6.3,2841,73.79505,230062763,1.35,2010,1
40,49013,Cars 2,2011-06-11,200000000,559852396,106.0,5.8,2033,49.98659,359852396,1.8,2011,1
41,44912,Green Lantern,2011-06-16,200000000,219851172,114.0,5.1,2487,51.872839,19851172,0.1,2011,1
42,10193,Toy Story 3,2010-06-16,200000000,1066969703,103.0,7.6,4597,59.995418,866969703,4.33,2010,1
43,534,Terminator Salvation,2009-05-20,200000000,371353001,115.0,5.9,2463,71.862892,171353001,0.86,2009,1
44,168259,Furious 7,2015-04-01,190000000,1506249360,137.0,7.3,4176,102.322217,1316249360,6.93,2015,1
45,72190,World War Z,2013-06-20,200000000,531865000,116.0,6.7,5560,81.834855,331865000,1.66,2013,1
46,127585,X-Men: Days of Future Past,2014-05-15,250000000,747862775,131.0,7.5,6032,118.078691,497862775,1.99,2014,1
47,54138,Star Trek Into Darkness,2013-05-05,190000000,467365246,132.0,7.4,4418,78.291018,277365246,1.46,2013,1
48,81005,Jack the Giant Slayer,2013-02-27,195000000,197687603,114.0,5.5,2598,43.349855,2687603,0.01,2013,1
49,64682,The Great Gatsby,2013-05-10,105000000,351040419,143.0,7.3,3769,61.196071,246040419,2.34,2013,1
50,9543,Prince of Persia: The Sands of Time,2010-05-19,150000000,335154643,116.0,6.2,2317,62.169881,185154643,1.23,2010,1
51,68726,Pacific Rim,2013-07-11,180000000,407602906,131.0,6.7,4794,56.523205,227602906,1.26,2013,1
52,38356,Transformers: Dark of the Moon,2011-06-28,195000000,1123746996,154.0,6.1,3299,28.529607,928746996,4.76,2011,1
53,217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,185000000,786636033,122.0,5.7,2495,75.674458,601636033,3.25,2008,1
54,105864,The Good Dinosaur,2015-11-14,175000000,331926147,93.0,6.6,1736,51.692953,156926147,0.9,2015,1
55,62177,Brave,2012-06-21,185000000,538983207,93.0,6.7,4641,125.114374,353983207,1.91,2012,1
56,188927,Star Trek Beyond,2016-07-07,185000000,343471816,122.0,6.6,2568,65.352913,158471816,0.86,2016,1
57,10681,WALL·E,2008-06-22,180000000,521311860,98.0,7.8,6296,66.390712,341311860,1.9,2008,1
58,5174,Rush Hour 3,2007-08-08,140000000,258022233,91.0,6.1,783,22.57178,118022233,0.84,2007,1
